,mu,std
Jet_Eta[3],-0.0072190799326058664,1.1038259220517141
N_Jets,4.773974726835347,0.7578093235528994
Jet_Pt[1],109.62089195595311,58.328234703844046
Jet_M[2],11.52255404569949,4.5045551734204015
Jet_Eta[1],-0.006919353973638896,1.0334640652723213
Jet_CSV[2],0.5590968463799748,0.42379142133973746
Jet_M[0],21.2252189574095,13.38525278708499
Jet_CSV[0],0.6367378324459412,0.4080690385945704
Jet_M[3],9.140411973276667,3.1489261392201287
Jet_Phi[3],0.004040845926688324,1.8144563035134476
Jet_Phi[1],0.006425275991936286,1.8147003083355033
Evt_Deta_TaggedJetsAverage,0.95657694,0.5088704
Jet_Pt[3],53.85448998547228,22.525399092228408
Jet_Pt[0],169.2731420999623,100.77447467714897
Jet_Eta[2],-0.00802086721445665,1.0669218784439427
Jet_Eta[0],-0.005787842326001779,1.0029659470256704
Evt_CSV_avg,0.5584278,0.10990614
Jet_CSV[3],0.49897155982979596,0.423568637376399
Jet_M[1],15.056921652419717,7.457255048651724
Jet_Pt[2],75.67141919724372,35.011245141889006
Jet_Phi[2],0.00303362336171318,1.81765805420147
Jet_Phi[0],0.0012212996352291817,1.8106319545722434
Evt_Pt_minDrTaggedJets,168.3677,95.41699
Jet_CSV[1],0.6156203594497435,0.41429689449700347
Evt_Pt_TaggedJetsAverage,97.5555,47.812943
Evt_Pt_JetsAverage,92.4998,39.488586
